interventionType,intervention,jobsType,jobsName,value,id,region,country,gP,status
Meso-level: Business Environment,Infrastructure-ICT,Job Access,Labor force participation,Yes,P149459,MNA,Morocco,Transport and ICT GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P149463,ECA,Armenia,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P149463,ECA,Armenia,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P149464,AFR,Tanzania,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Quality,Earnings/ livelihood,Yes,P149464,AFR,Tanzania,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P149464,AFR,Tanzania,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Youth,Yes,P149464,AFR,Tanzania,Education GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Intermediate Outcomes,Access to/ working of product markets,Yes,P149494,AFR,Africa,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure- Transport,Job Quality,Earnings/ livelihood,Yes,P149494,AFR,Africa,Transport and ICT GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Wage Subsidies,Job Quality,Earnings/ livelihood,Yes,P149496,LCR,Brazil,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Wage Subsidies,Job Access,Labor force participation,Yes,P149496,LCR,Brazil,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P149512,AFR,Central African Republic,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P149512,AFR,Central African Republic,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Wage Subsidies,Job Access,Labor force participation,Yes,P149536,AFR,Mozambique,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Intermediate Outcomes,Access to/ working of product markets,Yes,P149553,SAR,Bangladesh,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Intermediate Outcomes,Firm performance/ investment,Yes,P149553,SAR,Bangladesh,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Intermediate Outcomes,Human capital,Yes,P149553,SAR,Bangladesh,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Creation,New enterprises,Yes,P149553,SAR,Bangladesh,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Creation,Entrepreneurs/self-employed,Yes,P149553,SAR,Bangladesh,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Quality,Worker productivity,Yes,P149553,SAR,Bangladesh,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Quality,Earnings/ livelihood,Yes,P149553,SAR,Bangladesh,Agriculture GP,Pipeline
Macro-level: Economic Conditions,Public Administration and Governance,Intermediate Outcomes,Access to/ working of product markets,Yes,P149555,ECA,Moldova,Macro & Fiscal Management GP,Pipeline
Macro-level: Economic Conditions,Public Administration and Governance,Intermediate Outcomes,Firm performance/ investment,Yes,P149555,ECA,Moldova,Macro & Fiscal Management GP,Pipeline
Macro-level: Economic Conditions,Public Administration and Governance,Job Creation,Entrepreneurs/self-employed,Yes,P149555,ECA,Moldova,Macro & Fiscal Management GP,Pipeline
Meso-level: Business Environment,Infrastructure-Energy,Intermediate Outcomes,Firm performance/ investment,Yes,P149599,EAP,Lao People's Democratic Republic,Energy & Extractives GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P149605,SAR,Bangladesh,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P149605,SAR,Bangladesh,Agriculture GP,Pipeline
Macro-level: Economic Conditions,Trade & Investment Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P149609,LCR,Colombia,Macro & Fiscal Management GP,Active
Macro-level: Economic Conditions,Trade & Investment Policy,Job Creation,New enterprises,Yes,P149609,LCR,Colombia,Macro & Fiscal Management GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P149620,AFR,Mozambique,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P149620,AFR,Mozambique,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs-Public Works,Job Quality,Earnings/ livelihood,Yes,P149621,MNA,Djibouti,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs-Public Works,Job Access,Working of labor market,Yes,P149621,MNA,Djibouti,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs-Public Works,Job Quality,Earnings/ livelihood,Yes,P149652,EAP,Solomon Islands,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs-Public Works,Job Access,Working of labor market,Yes,P149652,EAP,Solomon Islands,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Access to/ working of product markets,Yes,P149677,MNA,"Egypt, Arab Republic of",Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Firm performance/ investment,Yes,P149677,MNA,"Egypt, Arab Republic of",Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Job Creation,New enterprises,Yes,P149677,MNA,"Egypt, Arab Republic of",Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Job Access,Gender,Yes,P149677,MNA,"Egypt, Arab Republic of",Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P149689,AFR,"Congo, Democratic Republic of","Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P149689,AFR,"Congo, Democratic Republic of","Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P149690,AFR,"Congo, Republic of","Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P149690,AFR,"Congo, Republic of","Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P149737,EAP,Indonesia,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P149737,EAP,Indonesia,"Urban, Rural & Social GP",Pipeline
Macro-level: Economic Conditions,Taxation/Fiscal Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P149743,ECA,Montenegro,Governance GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Intermediate Outcomes,Access to/ working of product markets,Yes,P149747,MNA,Morocco,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P149747,MNA,Morocco,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P149747,MNA,Morocco,Environment & Natural Resources GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Access to/ working of product markets,Yes,P149757,MNA,West Bank and Gaza,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Firm performance/ investment,Yes,P149757,MNA,West Bank and Gaza,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,Job creation (by employers),Yes,P149757,MNA,West Bank and Gaza,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,New enterprises,Yes,P149757,MNA,West Bank and Gaza,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Job Quality,Worker productivity,Yes,P149757,MNA,West Bank and Gaza,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Job Access,Labor force participation,Yes,P149757,MNA,West Bank and Gaza,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Job Access,Youth,Yes,P149757,MNA,West Bank and Gaza,Transport and ICT GP,Pipeline
Macro-level: Economic Conditions,Public Administration and Governance,Intermediate Outcomes,Firm performance/ investment,Yes,P149768,ECA,Bosnia and Herzegovina,Macro & Fiscal Management GP,Pipeline
Macro-level: Economic Conditions,Public Administration and Governance,Job Creation,Job creation (by employers),Yes,P149768,ECA,Bosnia and Herzegovina,Macro & Fiscal Management GP,Pipeline
Macro-level: Economic Conditions,Public Administration and Governance,Job Access,Labor force participation,Yes,P149768,ECA,Bosnia and Herzegovina,Macro & Fiscal Management GP,Pipeline
Macro-level: Economic Conditions,Public Administration and Governance,Job Access,Fragile,Yes,P149768,ECA,Bosnia and Herzegovina,Macro & Fiscal Management GP,Pipeline
Macro-level: Economic Conditions,Public Administration and Governance,Intermediate Outcomes,Firm performance/ investment,Yes,P149781,ECA,Poland,Macro & Fiscal Management GP,Pipeline
Macro-level: Economic Conditions,Public Administration and Governance,Job Access,Labor force participation,Yes,P149781,ECA,Poland,Macro & Fiscal Management GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P149801,AFR,Cote d'Ivoire,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P149801,AFR,Cote d'Ivoire,Environment & Natural Resources GP,Active
Macro-level: Economic Conditions,Trade & Investment Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P149804,ECA,"Macedonia, former Yugoslav Republic of",Trade & Competitiveness GP,Pipeline
Macro-level: Economic Conditions,Trade & Investment Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P149886,EAP,Solomon Islands,Macro & Fiscal Management GP,Active
Meso-level: Business Environment,Infrastructure-Energy,Intermediate Outcomes,Firm performance/ investment,Yes,P149942,AFR,Togo,Environment & Natural Resources GP,Pipeline
Meso-level: Business Environment,Infrastructure-Energy,Intermediate Outcomes,Firm performance/ investment,Yes,P149959,LCR,St. Lucia,Energy & Extractives GP,Active
Macro-level: Economic Conditions,Public Administration and Governance,Intermediate Outcomes,Firm performance/ investment,Yes,P149963,EAP,Tonga,Macro & Fiscal Management GP,Active
Meso-level: Business Environment,Labor Policies,Job Access,Working of labor market,Yes,P149965,AFR,Uganda,Social Protection & Labor GP,Pipeline
Macro-level: Economic Conditions,Trade & Investment Policy,Intermediate Outcomes,Access to/ working of product markets,Yes,P149991,ECA,Georgia,Macro & Fiscal Management GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P149992,AFR,Mozambique,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P149992,AFR,Mozambique,Environment & Natural Resources GP,Pipeline
Macro-level: Economic Conditions,Trade & Investment Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P149998,ECA,Georgia,Trade & Competitiveness GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P150006,AFR,Africa,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P150006,AFR,Africa,Agriculture GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Access to/ working of product markets,Yes,P150008,AFR,South Africa,Finance & Markets GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Firm performance/ investment,Yes,P150008,AFR,South Africa,Finance & Markets GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Job Creation,Entrepreneurs/self-employed,Yes,P150008,AFR,South Africa,Finance & Markets GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Intermediate Outcomes,Firm performance/ investment,Yes,P150009,AFR,Tanzania,Trade & Competitiveness GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Creation,Job creation (by employers),Yes,P150009,AFR,Tanzania,Trade & Competitiveness GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Creation,Entrepreneurs/self-employed,Yes,P150009,AFR,Tanzania,Trade & Competitiveness GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Quality,Earnings/ livelihood,Yes,P150009,AFR,Tanzania,Trade & Competitiveness GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P150064,MNA,Morocco,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Job Quality,Earnings/ livelihood,Yes,P150064,MNA,Morocco,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P150064,MNA,Morocco,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Youth,Yes,P150064,MNA,Morocco,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P150079,ECA,Kosovo,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P150079,ECA,Kosovo,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Youth,Yes,P150079,ECA,Kosovo,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Intermediate Outcomes,Firm performance/ investment,Yes,P150094,MNA,Morocco,Trade & Competitiveness GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Creation,Job creation (by employers),Yes,P150094,MNA,Morocco,Trade & Competitiveness GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Creation,Entrepreneurs/self-employed,Yes,P150094,MNA,Morocco,Trade & Competitiveness GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P150129,MNA,"Yemen, Republic of",Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P150129,MNA,"Yemen, Republic of",Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Youth,Yes,P150129,MNA,"Yemen, Republic of",Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P150183,ECA,Kazakhstan,Education GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Job Quality,Earnings/ livelihood,Yes,P150183,ECA,Kazakhstan,Education GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P150183,ECA,Kazakhstan,Education GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P150253,AFR,South Sudan,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P150253,AFR,South Sudan,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Youth,Yes,P150253,AFR,South Sudan,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Fragile,Yes,P150253,AFR,South Sudan,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P150310,ECA,Georgia,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P150310,ECA,Georgia,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Youth,Yes,P150310,ECA,Georgia,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Intermediate Outcomes,Firm performance/ investment,Yes,P150369,AFR,Ghana,Agriculture GP,Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Creation,Entrepreneurs/self-employed,Yes,P150369,AFR,Ghana,Agriculture GP,Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Worker productivity,Yes,P150369,AFR,Ghana,Agriculture GP,Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Earnings/ livelihood,Yes,P150369,AFR,Ghana,Agriculture GP,Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Access,Bottom 40/ Poor,Yes,P150369,AFR,Ghana,Agriculture GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Access to/ working of product markets,Yes,P150388,ECA,"Macedonia, former Yugoslav Republic of",Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Firm performance/ investment,Yes,P150388,ECA,"Macedonia, former Yugoslav Republic of",Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,Job creation (by employers),Yes,P150388,ECA,"Macedonia, former Yugoslav Republic of",Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,New enterprises,Yes,P150388,ECA,"Macedonia, former Yugoslav Republic of",Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Job Quality,Worker productivity,Yes,P150388,ECA,"Macedonia, former Yugoslav Republic of",Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure-ICT,Job Access,Labor force participation,Yes,P150388,ECA,"Macedonia, former Yugoslav Republic of",Transport and ICT GP,Pipeline
Macro-level: Economic Conditions,Trade & Investment Policy,Job Creation,New enterprises,Yes,P150406,AFR,Sierra Leone,Trade & Competitiveness GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Wage Subsidies,Job Access,Labor force participation,Yes,P150430,AFR,Mauritania,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P150450,ECA,Albania,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P150450,ECA,Albania,Environment & Natural Resources GP,Active
Meso-level: Business Environment,Labor Policies,Job Access,Working of labor market,Yes,P150472,EAP,Cambodia,"Health, Nutrition & Population GP",Active
Meso-level: Business Environment,Infrastructure- Transport,Intermediate Outcomes,Access to/ working of product markets,Yes,P150505,ECA,Armenia,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure- Transport,Job Quality,Earnings/ livelihood,Yes,P150505,ECA,Armenia,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure- Transport,Job Access,Labor force participation,Yes,P150505,ECA,Armenia,Transport and ICT GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Intermediate Outcomes,Access to/ working of product markets,Yes,P150513,ECA,Uzbekistan,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P150513,ECA,Uzbekistan,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P150513,ECA,Uzbekistan,"Urban, Rural & Social GP",Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Creation,Entrepreneurs/self-employed,Yes,P150523,AFR,Tanzania,Environment & Natural Resources GP,Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Worker productivity,Yes,P150523,AFR,Tanzania,Environment & Natural Resources GP,Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Earnings/ livelihood,Yes,P150523,AFR,Tanzania,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P150546,AFR,Mozambique,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P150546,AFR,Mozambique,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P150573,EAP,Indonesia,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P150573,EAP,Indonesia,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P150576,SAR,India,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P150576,SAR,India,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Youth,Yes,P150576,SAR,India,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Gender,Yes,P150576,SAR,India,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P150631,EAP,Cambodia,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P150644,AFR,Somalia,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P150644,AFR,Somalia,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P150696,ECA,Georgia,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P150696,ECA,Georgia,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Wage Subsidies,Job Quality,Earnings/ livelihood,Yes,P150754,AFR,Comoros,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Wage Subsidies,Job Access,Labor force participation,Yes,P150754,AFR,Comoros,Social Protection & Labor GP,Pipeline
Meso-level: Business Environment,Infrastructure- Transport,Intermediate Outcomes,Access to/ working of product markets,Yes,P150927,AFR,South Sudan,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure- Transport,Job Quality,Earnings/ livelihood,Yes,P150927,AFR,South Sudan,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure- Transport,Job Access,Fragile,Yes,P150927,AFR,South Sudan,Transport and ICT GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Intermediate Outcomes,Firm performance/ investment,Yes,P150928,MNA,Morocco,Finance & Markets GP,Pipeline
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Quality,Worker productivity,Yes,P150928,MNA,Morocco,Finance & Markets GP,Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Creation,Entrepreneurs/self-employed,Yes,P150930,MNA,Morocco,Water GP,Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Worker productivity,Yes,P150930,MNA,Morocco,Water GP,Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Earnings/ livelihood,Yes,P150930,MNA,Morocco,Water GP,Pipeline
Meso-level: Business Environment,Infrastructure- Transport,Intermediate Outcomes,Access to/ working of product markets,Yes,P150937,AFR,Tanzania,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure- Transport,Job Quality,Earnings/ livelihood,Yes,P150937,AFR,Tanzania,Transport and ICT GP,Pipeline
Meso-level: Business Environment,Infrastructure- Transport,Job Access,Labor force participation,Yes,P150937,AFR,Tanzania,Transport and ICT GP,Pipeline
Macro-level: Economic Conditions,Trade & Investment Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P150941,AFR,Burundi,Macro & Fiscal Management GP,Active
Macro-level: Economic Conditions,Trade & Investment Policy,Job Creation,New enterprises,Yes,P150941,AFR,Burundi,Macro & Fiscal Management GP,Active
Macro-level: Economic Conditions,Public Administration and Governance,Intermediate Outcomes,Access to/ working of product markets,Yes,P150950,MNA,Tunisia,Macro & Fiscal Management GP,Pipeline
Macro-level: Economic Conditions,Public Administration and Governance,Job Creation,Job creation (by employers),Yes,P150950,MNA,Tunisia,Macro & Fiscal Management GP,Pipeline
Macro-level: Economic Conditions,Public Administration and Governance,Job Creation,New enterprises,Yes,P150950,MNA,Tunisia,Macro & Fiscal Management GP,Pipeline
Macro-level: Economic Conditions,Public Administration and Governance,Intermediate Outcomes,Human capital,Yes,P150976,AFR,Senegal,Macro & Fiscal Management GP,Pipeline
Macro-level: Economic Conditions,Public Administration and Governance,Job Access,Labor force participation,Yes,P150976,AFR,Senegal,Macro & Fiscal Management GP,Pipeline
Macro-level: Economic Conditions,Public Administration and Governance,Job Access,Working of labor market,Yes,P150976,AFR,Senegal,Macro & Fiscal Management GP,Pipeline
Macro-level: Economic Conditions,Taxation/Fiscal Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P151007,LCR,Paraguay,Macro & Fiscal Management GP,Pipeline
Macro-level: Economic Conditions,Taxation/Fiscal Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P151009,ECA,Croatia,Macro & Fiscal Management GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P151030,MNA,Tunisia,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P151030,MNA,Tunisia,Environment & Natural Resources GP,Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Intermediate Outcomes,Firm performance/ investment,Yes,P151031,AFR,South Sudan,Agriculture GP,Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Creation,Entrepreneurs/self-employed,Yes,P151031,AFR,South Sudan,Agriculture GP,Pipeline
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Earnings/ livelihood,Yes,P151031,AFR,South Sudan,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P151047,AFR,Botswana,Education GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Job Quality,Earnings/ livelihood,Yes,P151047,AFR,Botswana,Education GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P151047,AFR,Botswana,Education GP,Pipeline
